# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 260:         5.180       52.100       1.90  DE BILT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# RH       = Etmaalsom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm); 
# 
# STN,YYYYMMDD,   RH
# 
  260,20150101,   -1
  260,20150102,   43
  260,20150103,   15
  260,20150104,   -1
  260,20150105,    0
  260,20150106,   18
  260,20150107,   12
  260,20150108,  176
  260,20150109,   85
  260,20150110,   34
  260,20150111,   14
  260,20150112,   19
  260,20150113,  140
  260,20150114,   19
  260,20150115,   80
  260,20150116,   17
  260,20150117,    0
  260,20150118,   47
  260,20150119,   -1
  260,20150120,    0
  260,20150121,    0
  260,20150122,    0
  260,20150123,    0
  260,20150124,   86
  260,20150125,    3
  260,20150126,   31
  260,20150127,    1
  260,20150128,   82
  260,20150129,  150
  260,20150130,   83
  260,20150131,    2
  260,20150201,   21
  260,20150202,   55
  260,20150203,    1
  260,20150204,   -1
  260,20150205,    9
  260,20150206,    0
  260,20150207,   -1
  260,20150208,    0
  260,20150209,    3
  260,20150210,    2
  260,20150211,    0
  260,20150212,    0
  260,20150213,    0
  260,20150214,    0
  260,20150215,    0
  260,20150216,    0
  260,20150217,    1
  260,20150218,    0
  260,20150219,    0
  260,20150220,  200
  260,20150221,   94
  260,20150222,   22
  260,20150223,   28
  260,20150224,   73
  260,20150225,   28
  260,20150226,   70
  260,20150227,    0
  260,20150228,   -1
  260,20150301,   51
  260,20150302,   24
  260,20150303,   20
  260,20150304,    3
  260,20150305,    0
  260,20150306,    0
  260,20150307,    0
  260,20150308,   -1
  260,20150309,   -1
  260,20150310,    2
  260,20150311,    0
  260,20150312,    0
  260,20150313,    0
  260,20150314,    2
  260,20150315,    1
  260,20150316,    0
  260,20150317,    0
  260,20150318,    0
  260,20150319,    0
  260,20150320,    0
  260,20150321,   22
  260,20150322,    0
  260,20150323,    0
  260,20150324,    3
  260,20150325,   72
  260,20150326,   41
  260,20150327,   17
  260,20150328,   33
  260,20150329,  162
  260,20150330,   54
  260,20150331,   90
  260,20150401,   40
  260,20150402,   47
  260,20150403,    0
  260,20150404,   19
  260,20150405,    0
  260,20150406,   -1
  260,20150407,    0
  260,20150408,    0
  260,20150409,    0
  260,20150410,    0
  260,20150411,   41
  260,20150412,    1
  260,20150413,   -1
  260,20150414,    0
  260,20150415,    0
  260,20150416,    0
  260,20150417,    0
  260,20150418,    0
  260,20150419,    0
  260,20150420,    0
  260,20150421,    0
  260,20150422,    0
  260,20150423,    0
  260,20150424,    0
  260,20150425,   37
  260,20150426,    7
  260,20150427,    0
  260,20150428,    1
  260,20150429,   16
  260,20150430,    0
  260,20150501,    0
  260,20150502,    0
  260,20150503,   16
  260,20150504,   38
  260,20150505,   92
  260,20150506,   50
  260,20150507,   11
  260,20150508,    1
  260,20150509,   39
  260,20150510,    0
  260,20150511,    0
  260,20150512,    0
  260,20150513,    0
  260,20150514,    0
  260,20150515,    0
  260,20150516,   17
  260,20150517,    0
  260,20150518,   21
  260,20150519,   22
  260,20150520,    2
  260,20150521,    0
  260,20150522,    0
  260,20150523,   20
  260,20150524,    8
  260,20150525,    5
  260,20150526,    0
  260,20150527,    0
  260,20150528,    7
  260,20150529,   31
  260,20150530,   -1
  260,20150531,   83
  260,20150601,    0
  260,20150602,   28
  260,20150603,   -1
  260,20150604,    0
  260,20150605,   80
  260,20150606,   -1
  260,20150607,    0
  260,20150608,    0
  260,20150609,    0
  260,20150610,    0
  260,20150611,    0
  260,20150612,   -1
  260,20150613,    4
  260,20150614,    0
  260,20150615,    0
  260,20150616,    0
  260,20150617,   26
  260,20150618,    2
  260,20150619,   40
  260,20150620,   -1
  260,20150621,  101
  260,20150622,   42
  260,20150623,    5
  260,20150624,    0
  260,20150625,    0
  260,20150626,    0
  260,20150627,   -1
  260,20150628,   -1
  260,20150629,    0
  260,20150630,    0
  260,20150701,    0
  260,20150702,   69
  260,20150703,    0
  260,20150704,    0
  260,20150705,    0
  260,20150706,    0
  260,20150707,   -1
  260,20150708,  113
  260,20150709,   18
  260,20150710,    0
  260,20150711,    0
  260,20150712,   14
  260,20150713,   44
  260,20150714,   29
  260,20150715,   23
  260,20150716,   -1
  260,20150717,   41
  260,20150718,    0
  260,20150719,   97
  260,20150720,    5
  260,20150721,   -1
  260,20150722,    0
  260,20150723,    0
  260,20150724,    5
  260,20150725,  148
  260,20150726,   35
  260,20150727,  123
  260,20150728,  100
  260,20150729,   41
  260,20150730,   11
  260,20150731,    0
  260,20150801,    0
  260,20150802,    0
  260,20150803,    0
  260,20150804,   19
  260,20150805,    0
  260,20150806,    0
  260,20150807,    0
  260,20150808,    0
  260,20150809,   -1
  260,20150810,    0
  260,20150811,    0
  260,20150812,   -1
  260,20150813,  111
  260,20150814,   53
  260,20150815,   85
  260,20150816,  110
  260,20150817,  136
  260,20150818,   12
  260,20150819,   -1
  260,20150820,    0
  260,20150821,   -1
  260,20150822,    0
  260,20150823,   85
  260,20150824,   24
  260,20150825,  116
  260,20150826,  129
  260,20150827,   50
  260,20150828,    1
  260,20150829,   38
  260,20150830,  101
  260,20150831,   73
  260,20150901,   -1
  260,20150902,    3
  260,20150903,    3
  260,20150904,  411
  260,20150905,   35
  260,20150906,   10
  260,20150907,   10
  260,20150908,    0
  260,20150909,    0
  260,20150910,    0
  260,20150911,    0
  260,20150912,   15
  260,20150913,   -1
  260,20150914,  125
  260,20150915,   10
  260,20150916,   58
  260,20150917,   91
  260,20150918,    0
  260,20150919,   10
  260,20150920,    0
  260,20150921,   15
  260,20150922,   13
  260,20150923,   55
  260,20150924,   21
  260,20150925,   -1
  260,20150926,    0
  260,20150927,    0
  260,20150928,    0
  260,20150929,    0
  260,20150930,    0
  260,20151001,    0
  260,20151002,    0
  260,20151003,    0
  260,20151004,    0
  260,20151005,    6
  260,20151006,   63
  260,20151007,   27
  260,20151008,    2
  260,20151009,    0
  260,20151010,    0
  260,20151011,    0
  260,20151012,    0
  260,20151013,    0
  260,20151014,   28
  260,20151015,   74
  260,20151016,   59
  260,20151017,   14
  260,20151018,   -1
  260,20151019,    0
  260,20151020,    7
  260,20151021,   18
  260,20151022,   22
